timestamp,record,co2_1,co2_2,ctd1_depth,ctd1_temp,ctd1_ec,ctd2_depth,ctd2_temp,ctd2_ec,orp,ph1,ph2,ldo,ldo_temp,gs3_1_moisture,gs3_1_temp,gs3_1_ec,gs3_2_moisture,gs3_2_temp,gs3_2_ec,sonic_u,sonic_v,sonic_w,sonic_temp
2017-04-15 10:00:00,6472,1321.55,1558.124,135,7,17,300,7,17,388.8511,6.316343,0.7459154,19.9864,0.03399048,65.54,6.9,19,77.85,7.2,10,0.1829185,-0.3387623,-8.604342,3.462463
2017-04-15 10:00:05,6473,1373.216,1563.562,134,7,0,299,7,0,388.3413,6.313277,1.10154,19.9864,0.03399048,66.83,6.9,18,77.44,7.1,11,0.3116455,-0.4336109,-8.577242,3.462463
2017-04-15 10:00:10,6474,1382.733,1544.528,135,7,0,300,7,14,388.0014,6.316343,0.2063475,19.9898,0.03399048,65.87,6.9,19,77.52,7.2,10,0.2167931,-0.3387623,-8.584017,3.394714
2017-04-15 10:00:15,6475,1339.225,1541.808,136,7,0,300,7,16,387.8314,6.316343,0.6600752,19.9932,0.03399048,65.82,6.9,18,77.63,7.2,10,0.2980957,-0.2710114,-8.570467,3.462463
2017-04-15 10:00:20,6476,1341.944,1520.054,135,7,12,299,7,14,388.6812,6.319408,0.2921877,19.9864,0.03399048,65.88,6.9,19,78.11,7.1,10,0.3861713,-0.1761608,-8.468842,3.408264
2017-04-15 10:00:25,6477,1347.383,1517.335,135,7,0,300,7,15,388.0014,6.319408,0.6999297,19.9932,0.03399048,65.57,6.9,19,78.81,7.2,10,0.2167931,-0.2642365,-8.556915,3.435364
2017-04-15 10:00:30,6478,1309.313,1539.089,135,7,13,300,7,13,388.6812,6.313277,0.8010988,19.9864,0.03399048,65.42,6.9,19,78.15,7.2,10,0.2574425,0.006767273,-8.56369,3.489563
2017-04-15 10:00:35,6479,1299.796,1544.528,135,7,0,299,7,15,389.0211,6.310211,0.672338,19.9966,0.03399048,65.16,6.9,18,77.94,7.2,10,0.2709961,-0.162611,-8.529816,3.435364
2017-04-15 10:00:40,6480,1306.594,1513.256,136,7,0,298,7,15,388.8511,6.310211,0.6600752,19.9932,0.03399048,65.56,6.9,18,78.06,7.2,10,0.1829185,-0.3387623,-8.529816,3.462463
2017-04-15 10:00:45,6481,1302.515,1449.354,135,7,13,299,7,14,388.6812,6.313277,0.80723,19.9864,0.03399048,65.8,6.9,19,78.05,7.2,11,0.2980957,-0.2710114,-8.543365,3.462463
2017-04-15 10:00:50,6482,1333.787,1408.566,135,7,0,300,7,15,387.8314,6.313277,1.119935,19.9898,0.05098572,66.41,6.9,20,77.53,7.2,10,0.1219425,-0.3387623,-8.55014,3.489563
2017-04-15 10:00:55,6483,1309.313,1405.846,135,7,14,300,7,14,386.6418,6.319408,1.224169,19.9864,0.03399048,66.3,6.9,19,78.52,7.2,11,0.1625919,-0.04065895,-8.543365,3.462463
2017-04-15 10:01:00,6484,1291.638,1403.127,135,7,12,299,7,13,388.0014,6.322474,1.199643,19.9864,0.03399048,67.55,6.9,18,77.57,7.2,10,0.09484291,-0.1490612,-8.529816,3.435364
2017-04-15 10:01:05,6485,1297.077,1386.812,135,7,0,299,7,16,389.8708,6.32554,1.205775,19.9966,0.03399048,66.39,6.9,19,78.11,7.2,10,0.02709198,-0.1151829,-8.543365,3.462463
2017-04-15 10:01:10,6486,1322.91,1394.969,135,7,15,300,7,14,389.0211,6.322474,1.35293,19.9864,0.03399048,66.52,6.9,19,78.01,7.2,10,-0.02710724,-0.06775856,-8.543365,3.489563
2017-04-15 10:01:15,6487,1302.515,1422.162,134,7,13,299,7,14,388.1713,6.313277,1.549136,19.9864,0.03399048,67.1,6.9,19,77.99,7.2,10,-0.04065895,-0.04065895,-8.421415,3.408264
2017-04-15 10:01:20,6488,1250.85,1427.6,135,7,0,299,7,16,389.8708,6.322474,1.168986,19.9898,0.04248811,66.24,6.9,19,78.53,7.2,10,0.01354218,-0.04065895,-8.56369,3.462463
2017-04-15 10:01:25,6489,1216.859,1416.723,136,7,13,299,7,15,387.8314,6.313277,1.138329,19.9864,0.03399048,66.27,6.9,18,78,7.2,11,-0.01355743,-0.02033234,-8.543365,3.448914
2017-04-15 10:01:30,6490,1218.219,1416.723,136,7,0,299,7,15,387.4915,6.316343,1.193512,19.9864,0.03399048,69.55,6.9,19,77.94,7.2,9,-0.01355743,-0.02710724,-8.516266,3.408264
2017-04-15 10:01:35,6491,1242.692,1430.32,134,7,0,299,7,15,389.5309,6.319408,1.199643,19.9864,0.05098572,68.44,6.9,19,78.42,7.2,10,-0.04065895,-0.04065895,-8.516266,3.394714
2017-04-15 10:01:40,6492,1279.402,1433.039,138,7,0,299,7,16,389.7009,6.319408,1.113803,19.9898,0.05098572,69.34,6.9,19,78.5,7.2,10,-0.04065895,0.006767273,-8.421415,3.448914
2017-04-15 10:01:45,6493,1295.717,1407.206,134,7,0,299,7,15,387.4915,6.310211,1.14446,19.9932,0.03399048,70.08,6.9,19,77.66,7.2,9,-0.08808327,-0.02033234,-8.56369,3.408264
2017-04-15 10:01:50,6494,1268.525,1400.408,134,7,0,300,7,14,388.8511,6.30408,1.242563,19.9864,0.05098572,69.24,6.9,19,78.41,7.2,10,0.006767273,-0.04065895,-8.529816,3.462463
2017-04-15 10:01:55,6495,1242.692,1405.846,135,7,0,300,7,14,387.6615,6.316343,1.175117,19.9932,0.03399048,68.55,6.9,19,77.99,7.2,9,-0.04065895,-0.09485817,-8.543365,3.408264
2017-04-15 10:02:00,6496,1252.209,1389.531,136,7,0,300,7,0,388.8511,6.313277,1.113803,19.9864,0.03399048,66.27,6.9,19,78.09,7.2,11,-0.06775856,-0.04065895,-8.543365,3.448914
2017-04-15 10:02:05,6497,1271.244,1370.496,136,7,0,299,7,13,387.3216,6.30408,1.303878,19.9864,0.05098572,65.99,6.9,19,78.6,7.2,10,-0.04065895,-0.09485817,-8.421415,3.408264
2017-04-15 10:02:10,6498,1272.604,1370.496,133,7,0,300,7,16,387.1516,6.310211,1.355995,19.9966,0.03399048,65.71,6.9,18,78,7.2,10,-0.1219578,-0.08130836,-8.56369,3.408264
2017-04-15 10:02:15,6499,1272.604,1403.127,134,7,12,298,7,15,386.8117,6.297948,1.365192,19.9864,0.05098572,66.79,6.9,19,78.39,7.1,9,-0.06775856,-0.108408,-8.56369,3.394714
2017-04-15 10:02:20,6500,1333.787,1443.916,136,7,14,300,7,16,386.3018,6.30408,1.257892,19.9864,0.05098572,68.35,6.9,19,77.88,7.2,9,-0.01355743,-0.1422863,-8.543365,3.421814
2017-04-15 10:02:25,6501,1335.146,1457.512,135,7,0,298,7,15,386.8117,6.301014,1.049423,19.9864,0.05098572,65.43,6.9,19,77.85,7.2,10,0.01354218,-0.1422863,-8.529816,3.408264
2017-04-15 10:02:30,6502,1365.058,1447.995,135,7,0,299,7,14,386.9817,6.282619,1.064751,19.9932,0.03399048,65.88,6.9,19,78.16,7.2,9,-7.63E-06,-0.1761608,-8.434965,3.408264
2017-04-15 10:02:35,6503,1299.796,1435.758,134,7,0,300,7,0,386.9817,6.279554,1.052488,19.9864,0.03399048,66.5,6.9,19,78.14,7.2,10,0.006767273,-0.2168102,-8.543365,3.408264
